"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Получение данных о существующем пользователе по ID","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","349","Получение одного ресурса по ID","tests","2026-08-18","passed","2026-08-18","TestResources","test_resources","",""
"","184","Полное обновление данных пользователя методом PUT","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","183","Регистрация с невалидными входными данными","tests","2026-08-18","passed","2026-08-18","TestAuth","test_auth","",""
"","180","Создание нового пользователя","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","173","Успешная авторизация","tests","2026-08-18","passed","2026-08-18","TestAuth","test_auth","",""
"","308","Проверка корректности пагинации","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","446","Успешная регистрация","tests","2026-08-18","passed","2026-08-18","TestAuth","test_auth","",""
"","311","Получение несуществующего ресурса","tests","2026-08-18","passed","2026-08-18","TestResources","test_resources","",""
"","317","Получение данных о несуществующем пользователе","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","317","Успешное удаление пользователя","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","186","Частичное обновление данных пользователя методом PATCH","tests","2026-08-18","passed","2026-08-18","TestUsers","test_users","",""
"","308","Получение списка ресурсов с данными пагинации","tests","2026-08-18","passed","2026-08-18","TestResources","test_resources","",""
"","303","Авторизация с невалидными входными данными","tests","2026-08-18","passed","2026-08-18","TestAuth","test_auth","",""
